Intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,inter_linear_spacing,weight,peak_number,modular_ratio
-0.06721,-0.197025,0.299642,-1.66337,0.261718,-0.847807,0.333428,0.5340779999999999,0.219991,-0.818446
0.105604,-0.189174,0.164499,-0.683757,0.261718,-0.266459,0.446679,0.513983,0.219991,-0.351069
0.229043,0.124874,0.182281,0.686496,0.261718,-0.224934,0.371178,0.720156,-0.372457,-0.281173
0.562327,-0.000745,-3.210528,-2.832246,0.261718,2.80638,-2.497853,-0.559883,-1.151994,-1.768029
0.216699,0.2976,0.249852,-0.041313,0.261718,-0.930856,0.295677,0.7338819999999999,0.344717,-0.872827
0.167323,0.148427,0.278304,-0.289596,0.261718,1.602159,0.899684,-2.140394,-2.0562560000000003,1.010136
-0.00549,0.478177,0.029355000000000006,-0.247644,0.17234000000000002,-0.05883500000000001,0.333428,-0.828592,-0.621908,-0.112039
0.142636,-0.448263,0.438342,0.978909,0.261718,-0.432558,-0.006326,1.6891200000000002,0.344717,-0.26309
-0.116585,-0.07925700000000001,0.381439,1.540879,0.17234000000000002,0.273364,0.182426,0.359146,2.090879,0.264695
0.043885,0.030659,0.537921,-2.244735,0.261718,-1.180006,-0.232828,-3.439537,-2.679886,-0.849874
0.327793,0.336855,-0.020434,1.086893,0.261718,-0.30798400000000004,0.220177,0.449873,-0.5283640000000001,-0.276773
-0.091897,-0.118513,0.189393,1.280303,0.261718,0.564038,-0.232828,1.939094,0.812439,0.7736270000000001
0.599358,-2.426761,0.011573,0.5402600000000001,0.976743,-0.930856,-1.32759,0.167127,1.342524,0.029813
0.364825,0.195534,0.17516800000000002,-0.027618,0.261718,-0.6401819999999999,0.333428,1.07406,0.562987,-0.624238
0.599358,-0.377602,0.242739,-0.151028,0.976743,-1.761353,-1.25209,-2.212289,-2.0562560000000003,-0.878324
-0.585651,-0.354049,-3.210528,0.35651700000000003,0.261718,0.647088,0.031425,0.767762,0.8748020000000001,0.695967
0.290762,0.077766,0.118265,0.275805,0.261718,-0.432558,0.257927,0.214481,0.064084,-0.385691
0.17966700000000002,-0.291239,0.228514,1.550427,0.17234000000000002,-0.391033,0.937434,-1.7700060000000002,-2.0562560000000003,-0.721222
0.883267,-0.314793,0.086258,-1.3378370000000002,0.976743,-1.013906,-1.25209,0.776752,1.623157,-0.127591
-0.042522,0.540986,0.253409,-0.8363780000000001,0.261718,0.771662,0.55993,0.33177,-0.123005,0.484882
-0.079554,0.187683,0.335206,0.745008,0.17234000000000002,-0.266459,0.220177,1.254293,1.934972,-0.24103
0.216699,-2.08916,0.424116,-0.457525,0.08296100000000001,1.103861,-0.195078,-0.07376,-0.746634,1.272094
-0.128929,-0.322644,0.288973,0.764881,0.261718,-0.224934,0.333428,0.249662,-0.091823,-0.248287
0.006853,0.164129,0.125378,0.5845100000000001,0.261718,0.107265,0.106925,1.378415,0.594169,0.191629
-0.573307,0.376111,0.057807,0.047395,0.261718,-0.889332,0.182426,0.014191999999999996,0.31353600000000004,-0.783342
-0.104241,-0.07925700000000001,0.011573,0.220903,0.261718,-0.01731,0.333428,0.513265,0.656532,-0.077899
-0.351118,0.022808,0.171611,1.1519700000000002,0.261718,0.024215,0.144676,1.0202790000000002,1.560794,0.064773
0.290762,-0.189174,0.07914500000000001,-0.085921,0.976743,1.145386,-1.063338,-1.216357,-0.154186,1.962118
0.019197,-0.087108,0.384996,0.7949579999999999,0.261718,-0.10036,-0.157328,-0.145306,-0.372457,0.119238
-0.22768,-0.997846,0.356544,-0.026932,0.261718,-0.14188399999999998,0.144676,-0.499229,-0.123005,-0.088424
0.13029200000000002,-0.024299,0.246296,0.121006,0.08296100000000001,-0.432558,-0.42158,-0.55998,-0.902542,-0.042795
-0.635027,-0.448263,0.299642,1.407861,0.17234000000000002,-0.889332,-0.006326,0.864859,1.68552,-0.691759
-0.672058,-0.613138,0.360101,0.373406,0.17234000000000002,-0.391033,-2.799857,1.252953,0.62535,-2.086104
0.031541,0.666605,-0.095119,0.010217,0.17234000000000002,-0.8062819999999999,0.069175,0.960635,0.687713,-0.654086
-0.091897,-0.189174,0.345875,0.235912,0.261718,0.273364,-0.119577,-0.563358,0.157628,0.439724
0.13029200000000002,-0.071406,0.214288,0.915742,0.261718,0.273364,0.333428,0.340021,-0.43482,0.187663
0.142636,0.06991499999999999,0.399221,0.5680390000000001,-1.168333,-0.474083,0.446679,0.443894,0.282354,-0.543782
0.056229,-0.016447999999999997,0.345875,-0.053786,0.17234000000000002,-0.266459,0.144676,0.179533,0.500624,-0.202417
0.056229,-0.087108,0.089814,1.312409,0.08296100000000001,0.314889,0.333428,1.058256,0.157628,0.228023
0.624046,-0.189174,0.139604,0.38731,0.976743,-1.5952540000000002,-1.440842,-0.465524,1.529613,-0.6021529999999999
0.019197,-0.424709,0.33165,0.137655,-0.006417,-1.30458,-3.10186,-1.66128,-1.682078,-2.559617
0.31545,0.517433,-0.002652,-2.543473,0.261718,-0.972381,0.144676,0.871149,-0.746634,-0.842448
0.25373,-0.338346,0.352988,-1.154243,0.17234000000000002,-0.557133,0.182426,-0.501656,-0.684271,-0.497503
0.09326,0.054213,0.3743260000000001,0.378926,0.261718,0.273364,-2.573354,0.624185,1.061891,-1.718579
-0.16596,-0.134216,0.256965,0.387041,0.261718,1.020811,-0.195078,0.040558,-0.247731,1.18619
-0.030178,0.391814,0.217845,-0.07332999999999999,0.261718,0.190314,0.748682,-0.138704,0.438262,-0.117706
-0.091897,0.34470700000000004,0.182281,0.722749,0.261718,0.231839,0.408929,1.006475,0.937165,0.111209
-0.116585,0.423218,0.086258,1.919136,0.261718,2.432656,0.144676,1.397074,1.529613,2.313742
0.25373,-0.338346,0.352988,-1.154243,0.17234000000000002,-0.557133,0.257927,0.348428,0.032902,-0.527134
0.907954,1.467426,0.37077,-1.242027,0.708609,-1.30458,-1.138838,0.414324,1.280161,-0.474115
-0.128929,0.383963,0.23207,1.248675,0.261718,0.14879,-0.232828,1.213617,0.687713,0.406283
-0.128929,0.06991499999999999,0.313868,0.5105109999999999,0.08296100000000001,-1.346105,0.7864329999999999,-1.985828,-2.180982,-1.460539
0.229043,0.807926,-0.052442,0.082634,0.261718,-0.723232,0.031425,0.5307,0.157628,-0.554656
0.327793,0.179832,0.157386,-0.508846,0.17234000000000002,1.228436,0.333428,0.027685,0.31353600000000004,1.019708
0.204355,-0.275537,0.360101,-0.278884,0.261718,-0.681707,-0.119577,0.55495,0.531806,-0.418409
0.340137,-0.29909,0.7192970000000001,-0.434818,0.17234000000000002,-0.10036,0.220177,-0.224423,-0.091823,-0.090943
-0.314087,-0.024299,-1.681275,0.307284,0.261718,-0.349509,-0.42158,1.140693,0.656532,0.053152
-0.32643,0.321153,0.285416,-1.944952,-0.9001979999999999,-2.342701,-0.157328,-1.061907,0.157628,-1.993002
0.043885,0.572391,0.00446,-0.3331,0.261718,-1.30458,0.182426,0.118919,0.500624,-1.159823
0.080916,0.10132,0.10404,0.14049,0.261718,0.647088,0.257927,-0.327849,-0.247731,0.5649890000000001
0.426544,0.588093,0.160942,-0.889699,0.261718,0.273364,0.446679,0.336663,0.251173,0.125097
0.031541,0.171981,0.253409,-0.862994,0.17234000000000002,-1.2630549999999998,0.182426,-0.466728,0.219991,-1.127335
0.698109,-0.369751,0.185837,-0.92264,0.976743,-0.391033,-0.912336,0.706137,1.841428,0.303646
0.488263,-0.49537,0.111153,0.334258,0.976743,-1.013906,-0.610333,-0.273214,1.217798,-0.484483
0.7721720000000001,0.030659,0.075589,0.371824,0.976743,-0.557133,-1.138838,0.6158560000000001,1.217798,0.281789
-0.202992,-0.016447999999999997,0.594823,-1.5818219999999998,-0.363929,-1.013906,-2.724356,-0.29327,0.344717,-2.3831900000000004
-0.338774,-0.197025,0.530808,1.1462709999999998,0.708609,-1.055431,-1.403091,0.953645,0.8748020000000001,-0.055284
-3.4864550000000003,0.242641,3.28702,-1.488788,-3.045274,-1.802878,0.295677,0.358582,-2.8669740000000004,-1.659147
-0.635027,-0.448263,0.299642,1.407861,0.17234000000000002,-0.05883500000000001,-0.006326,0.730213,1.529613,0.08893200000000001
