Intercolumnar_distance,upper_margin,lower_margin,exploitation,row_number,modular_ratio,inter_linear_spacing,weight,peak_number,modular_ratio,class
-0.06721,-0.197025,0.299642,-1.66337,0.261718,-0.847807,0.333428,0.5340779999999999,0.219991,-0.818446,F
0.105604,-0.189174,0.164499,-0.683757,0.261718,-0.266459,0.446679,0.513983,0.219991,-0.351069,A
0.229043,0.124874,0.182281,0.686496,0.261718,-0.224934,0.371178,0.720156,-0.372457,-0.281173,A
0.562327,-0.000745,-3.210528,-2.832246,0.261718,2.80638,-2.497853,-0.559883,-1.151994,-1.768029,A
0.216699,0.2976,0.249852,-0.041313,0.261718,-0.930856,0.295677,0.7338819999999999,0.344717,-0.872827,A
0.167323,0.148427,0.278304,-0.289596,0.261718,1.602159,0.899684,-2.140394,-2.0562560000000003,1.010136,H
-0.00549,0.478177,0.029355000000000006,-0.247644,0.17234000000000002,-0.05883500000000001,0.333428,-0.828592,-0.621908,-0.112039,A
0.142636,-0.448263,0.438342,0.978909,0.261718,-0.432558,-0.006326,1.6891200000000002,0.344717,-0.26309,F
-0.116585,-0.07925700000000001,0.381439,1.540879,0.17234000000000002,0.273364,0.182426,0.359146,2.090879,0.264695,X
0.043885,0.030659,0.537921,-2.244735,0.261718,-1.180006,-0.232828,-3.439537,-2.679886,-0.849874,E
0.327793,0.336855,-0.020434,1.086893,0.261718,-0.30798400000000004,0.220177,0.449873,-0.5283640000000001,-0.276773,A
-0.091897,-0.118513,0.189393,1.280303,0.261718,0.564038,-0.232828,1.939094,0.812439,0.7736270000000001,A
0.599358,-2.426761,0.011573,0.5402600000000001,0.976743,-0.930856,-1.32759,0.167127,1.342524,0.029813,I
0.364825,0.195534,0.17516800000000002,-0.027618,0.261718,-0.6401819999999999,0.333428,1.07406,0.562987,-0.624238,A
0.599358,-0.377602,0.242739,-0.151028,0.976743,-1.761353,-1.25209,-2.212289,-2.0562560000000003,-0.878324,I
-0.585651,-0.354049,-3.210528,0.35651700000000003,0.261718,0.647088,0.031425,0.767762,0.8748020000000001,0.695967,E
0.290762,0.077766,0.118265,0.275805,0.261718,-0.432558,0.257927,0.214481,0.064084,-0.385691,F
0.17966700000000002,-0.291239,0.228514,1.550427,0.17234000000000002,-0.391033,0.937434,-1.7700060000000002,-2.0562560000000003,-0.721222,A
0.883267,-0.314793,0.086258,-1.3378370000000002,0.976743,-1.013906,-1.25209,0.776752,1.623157,-0.127591,I
-0.042522,0.540986,0.253409,-0.8363780000000001,0.261718,0.771662,0.55993,0.33177,-0.123005,0.484882,A
-0.079554,0.187683,0.335206,0.745008,0.17234000000000002,-0.266459,0.220177,1.254293,1.934972,-0.24103,X
0.216699,-2.08916,0.424116,-0.457525,0.08296100000000001,1.103861,-0.195078,-0.07376,-0.746634,1.272094,A
-0.128929,-0.322644,0.288973,0.764881,0.261718,-0.224934,0.333428,0.249662,-0.091823,-0.248287,F
0.006853,0.164129,0.125378,0.5845100000000001,0.261718,0.107265,0.106925,1.378415,0.594169,0.191629,A
-0.573307,0.376111,0.057807,0.047395,0.261718,-0.889332,0.182426,0.014191999999999996,0.31353600000000004,-0.783342,G
-0.104241,-0.07925700000000001,0.011573,0.220903,0.261718,-0.01731,0.333428,0.513265,0.656532,-0.077899,A
-0.351118,0.022808,0.171611,1.1519700000000002,0.261718,0.024215,0.144676,1.0202790000000002,1.560794,0.064773,X
0.290762,-0.189174,0.07914500000000001,-0.085921,0.976743,1.145386,-1.063338,-1.216357,-0.154186,1.962118,I
0.019197,-0.087108,0.384996,0.7949579999999999,0.261718,-0.10036,-0.157328,-0.145306,-0.372457,0.119238,A
-0.22768,-0.997846,0.356544,-0.026932,0.261718,-0.14188399999999998,0.144676,-0.499229,-0.123005,-0.088424,D
0.13029200000000002,-0.024299,0.246296,0.121006,0.08296100000000001,-0.432558,-0.42158,-0.55998,-0.902542,-0.042795,A
-0.635027,-0.448263,0.299642,1.407861,0.17234000000000002,-0.889332,-0.006326,0.864859,1.68552,-0.691759,Y
-0.672058,-0.613138,0.360101,0.373406,0.17234000000000002,-0.391033,-2.799857,1.252953,0.62535,-2.086104,E
0.031541,0.666605,-0.095119,0.010217,0.17234000000000002,-0.8062819999999999,0.069175,0.960635,0.687713,-0.654086,G
-0.091897,-0.189174,0.345875,0.235912,0.261718,0.273364,-0.119577,-0.563358,0.157628,0.439724,A
0.13029200000000002,-0.071406,0.214288,0.915742,0.261718,0.273364,0.333428,0.340021,-0.43482,0.187663,A
0.142636,0.06991499999999999,0.399221,0.5680390000000001,-1.168333,-0.474083,0.446679,0.443894,0.282354,-0.543782,A
0.056229,-0.016447999999999997,0.345875,-0.053786,0.17234000000000002,-0.266459,0.144676,0.179533,0.500624,-0.202417,A
0.056229,-0.087108,0.089814,1.312409,0.08296100000000001,0.314889,0.333428,1.058256,0.157628,0.228023,A
0.624046,-0.189174,0.139604,0.38731,0.976743,-1.5952540000000002,-1.440842,-0.465524,1.529613,-0.6021529999999999,I
0.019197,-0.424709,0.33165,0.137655,-0.006417,-1.30458,-3.10186,-1.66128,-1.682078,-2.559617,A
